ts,reconstruction_error,anomaly
2023-02-20 03:10:53,0.28676474,0
2023-02-20 03:10:54,0.2728615,0
2023-02-20 03:10:55,0.2902097,0
2023-02-20 03:10:56,0.27676764,0
2023-02-20 03:10:57,0.26327425,0
2023-02-20 03:10:58,0.27329138,0
2023-02-20 03:10:59,0.26294276,0
2023-02-20 03:11:00,0.2757313,0
2023-02-20 03:11:01,0.26639387,0
2023-02-20 03:11:02,0.27480254,0
2023-02-20 03:11:03,0.24823953,0
2023-02-20 03:11:04,0.2978171,0
2023-02-20 03:11:05,0.25485343,0
2023-02-20 03:11:06,0.2655315,0
2023-02-20 03:11:07,0.2589327,0
2023-02-20 03:11:08,0.27253768,0
2023-02-20 03:11:09,0.2585456,0
2023-02-20 03:11:10,0.2683379,0
2023-02-20 03:11:11,0.26256526,0
2023-02-20 03:11:12,0.28436285,0
2023-02-20 03:11:13,0.33909366,0
2023-02-20 03:11:14,0.35133415,0
2023-02-20 03:11:15,0.50485146,0
2023-02-20 03:11:16,1.0253223,0
2023-02-20 03:11:17,0.6750456,0
2023-02-20 03:11:18,0.40611285,0
2023-02-20 03:11:19,0.42197293,0
2023-02-20 03:11:20,1.625534,0
2023-02-20 03:11:21,0.2089135,0
2023-02-20 03:11:22,1.0871837,0
2023-02-20 03:11:23,1.5374011,0
2023-02-20 03:11:24,0.37862524,0
2023-02-20 03:11:25,1.8244097,0
2023-02-20 03:11:26,0.5011685,0
2023-02-20 03:11:27,0.34218755,0
2023-02-20 03:11:28,0.21899183,0
2023-02-20 03:11:29,1.4085478,0
2023-02-20 03:11:30,0.70857364,0
2023-02-20 03:11:31,1.8467981,0
2023-02-20 03:11:32,0.4407899,0
2023-02-20 03:11:33,2.982454,1
2023-02-20 03:11:34,2.5082893,1
2023-02-20 03:11:35,2.8352365,1
2023-02-20 03:11:36,0.73055446,0
2023-02-20 03:11:37,0.27324215,0
2023-02-20 03:11:38,1.00421,0
2023-02-20 03:11:39,0.57903636,0
2023-02-20 03:11:40,0.43913528,0
2023-02-20 03:11:41,1.7055444,0
2023-02-20 03:11:42,0.38620013,0
2023-02-20 03:11:43,1.8143903,0
2023-02-20 03:11:44,1.5845816,0
2023-02-20 03:11:45,1.1046004,0
2023-02-20 03:11:46,0.8981624,0
2023-02-20 03:11:47,0.8253369,0
2023-02-20 03:11:48,1.3180763,0
2023-02-20 03:11:49,1.2723933,0
2023-02-20 03:11:50,0.41375256,0
2023-02-20 03:11:51,0.7607666,0
2023-02-20 03:11:52,0.723588,0
2023-02-20 03:11:53,1.1586397,0
2023-02-20 03:11:54,3.7086413,1
2023-02-20 03:11:55,5.389653,1
2023-02-20 03:11:56,1.1672873,0
2023-02-20 03:11:57,6.0433173,1
2023-02-20 03:11:58,0.7336717,0
2023-02-20 03:11:59,0.9137561,0
2023-02-20 03:12:00,0.7208884,0
2023-02-20 03:12:01,3.3121226,1
2023-02-20 03:12:02,3.863914,1
2023-02-20 03:12:03,3.2935736,1
2023-02-20 03:12:04,2.890853,1
2023-02-20 03:12:05,0.80016804,0
2023-02-20 03:12:06,1.0530849,0
2023-02-20 03:12:07,0.3298053,0
2023-02-20 03:12:08,2.564645,1
2023-02-20 03:12:09,1.0872246,0
2023-02-20 03:12:10,0.21155192,0
2023-02-20 03:12:11,1.2875352,0
2023-02-20 03:12:12,2.8194292,1
2023-02-20 03:12:13,1.1160456,0
2023-02-20 03:12:14,1.8854523,0
2023-02-20 03:12:15,3.7344677,1
2023-02-20 03:12:16,0.9067434,0
2023-02-20 03:12:17,0.689522,0
2023-02-20 03:12:18,1.6805699,0
2023-02-20 03:12:19,0.86543655,0
