ts,reconstruction_error,anomaly
2023-03-09 23:47:12,2612.003,1
2023-03-09 23:47:13,596.34753,1
2023-03-09 23:47:14,445.6162,1
2023-02-26 17:07:56,164.22585,1
2023-03-09 23:47:15,117.93217,1
2023-02-26 17:07:55,106.91699,1
2023-02-26 17:07:57,45.0381,1
2023-03-09 23:47:16,29.82411,1
2023-03-05 19:35:14,21.206724,1
2023-02-26 05:10:48,19.053144,1
2023-02-25 00:44:25,17.637716,1
2023-03-02 23:19:21,15.185609,1
2023-02-28 03:29:13,14.647814,1
2023-03-11 16:44:08,13.529887,1
2023-03-01 19:24:49,13.221249,1
2023-03-10 17:47:36,12.837112,1
2023-03-06 00:03:12,12.730739,1
2023-02-28 17:14:18,12.0863085,1
2023-02-27 21:31:32,11.980871,1
2023-03-01 15:48:41,11.784188,1
